,parent_fen,child_fen,move,parent_score,child_score,difference
105,2r3r1/5p1k/5p2/pb2pP2/4P3/1Pp4R/q1P3BP/2B3K1 b - - 1 31,2r3r1/5pk1/5p2/pb2pP2/4P3/1Pp4R/q1P3BP/2B3K1 w - - 2 32,h7g7,-1.0,-0.88685,0.11314999999999997
106,6k1/pp3ppp/Q7/K1P5/qP1nn2P/P7/R3P1P1/5B1R w - - 1 26,6k1/pp3ppp/Q7/2P5/KP1nn2P/P7/R3P1P1/5B1R b - - 0 26,a5a4,-1.0,-0.88714,0.11285999999999996
107,8/p1p3bk/6pp/1pP5/1P2p3/5rP1/P1QR1P1P/q1KR4 w - - 9 28,8/p1p3bk/6pp/1pP5/1P2p3/5rP1/P2R1P1P/qQKR4 b - - 10 28,c2b1,-1.0,-0.88733,0.11267000000000005
108,8/k7/1p2P1Q1/3pq3/p1r5/8/N3nPPP/5RK1 w - - 1 51,8/k7/1p2P1Q1/3pq3/p1r5/8/N3nPPP/5R1K b - - 2 51,g1h1,-1.0,-0.88862,0.11138000000000003
109,8/p3p2R/2p3kQ/3pb3/3r4/1P3P2/q1P1K3/8 b - - 1 32,8/p3p2R/2p4Q/3pbk2/3r4/1P3P2/q1P1K3/8 w - - 2 33,g6f5,-1.0,-0.88899,0.11101000000000005
111,3n3r/p1k1Qp2/8/1R1PP3/q1p4r/2P5/5R1P/7K b - - 1 38,2kn3r/p3Qp2/8/1R1PP3/q1p4r/2P5/5R1P/7K w - - 2 39,c7c8,-1.0,-0.88957,0.11043000000000003
110,6rk/p4p1p/4pq2/Q2p4/3P4/1P1N2r1/P6N/2RR2K1 w - - 0 34,6rk/p4p1p/4pq2/Q2p4/3P4/1P1N2r1/P6N/2RR3K b - - 1 34,g1h1,-1.0,-0.89004,0.10995999999999995
112,Q4b1r/4kp1p/3p4/4p3/8/N7/PP2RPPP/3q2KR w - - 1 23,Q4b1r/4kp1p/3p4/4p3/8/N7/PP3PPP/3qR1KR b - - 2 23,e2e1,-1.0,-0.89027,0.10973
113,r1b2rkR/pp2b1p1/2n1p1P1/2p5/5q2/1PB5/P1PPQPP1/R3K3 b Q - 2 16,r1b2r1k/pp2b1p1/2n1p1P1/2p5/5q2/1PB5/P1PPQPP1/R3K3 w Q - 0 17,g8h8,-1.0,-0.89044,0.10955999999999999
114,3QQ3/2p2r1k/1p4pp/4b3/p1P1N1P1/P5RP/1P4K1/4nr2 w - - 3 42,3QQ3/2p2r1k/1p4pp/4b3/p1P1N1P1/P5RP/1P5K/4nr2 b - - 4 42,g2h2,-1.0,-0.89045,0.10955000000000004
116,4r1k1/5ppp/p1p5/b1p5/2P2PnN/P1NPr1Kb/1P1R3P/1RB5 w - - 2 27,4r1k1/5ppp/p1p5/b1p5/2P2Pn1/P1NPrNKb/1P1R3P/1RB5 b - - 3 27,h4f3,-1.0,-0.89107,0.10892999999999997
119,R5B1/1r2q1pk/p1p3pp/1p4n1/PP2P1P1/2P2Q1P/8/6K1 b - - 23 43,R5Bk/1r2q1p1/p1p3pp/1p4n1/PP2P1P1/2P2Q1P/8/6K1 w - - 24 44,h7h8,-1.0,-0.8915,0.10850000000000004
117,5r1k/R4B1Q/1n5b/3Pp3/1q6/8/5P1P/5KR1 b - - 0 38,5r2/R4B1k/1n5b/3Pp3/1q6/8/5P1P/5KR1 w - - 0 39,h8h7,-1.0,-0.89152,0.10848000000000002
118,r3k2r/1pp2pp1/p3p3/6qn/1B1P2PK/1Q2P2P/PP6/R6R w kq - 0 21,r3k2r/1pp2pp1/p3p3/6Kn/1B1P2P1/1Q2P2P/PP6/R6R b kq - 0 21,h4g5,-1.0,-0.89165,0.10834999999999995
120,2r2rk1/3n1p1p/p4P1N/1pbn4/3p3P/P7/1PP3RK/5R2 b - - 1 34,2r2r1k/3n1p1p/p4P1N/1pbn4/3p3P/P7/1PP3RK/5R2 w - - 2 35,g8h8,-1.0,-0.89175,0.10824999999999996
121,rn5k/pbp4p/1p2P1p1/8/2B5/2B5/P3KPPP/7q b - - 0 21,rn4k1/pbp4p/1p2P1p1/8/2B5/2B5/P3KPPP/7q w - - 1 22,h8g8,-1.0,-0.8922,0.1078
123,6r1/ppp2k1p/8/7q/7K/8/PPPPn2R/RNB5 w - - 0 28,6r1/ppp2k1p/8/7K/8/8/PPPPn2R/RNB5 b - - 0 28,h4h5,-1.0,-0.89323,0.10677000000000003
122,3r1b1r/4p1k1/pn2Qp1p/1p1q1P2/2pP2RP/6B1/PP4P1/4R1K1 b - - 2 26,3r1b1r/4p2k/pn2Qp1p/1p1q1P2/2pP2RP/6B1/PP4P1/4R1K1 w - - 3 27,g7h7,-1.0,-0.89406,0.10594000000000003
127,2k5/pb1nbp2/1pn1p3/2ppP1p1/1P1P2N1/P1P1B1Pq/3NQPK1/R3R2r w - - 2 24,2k5/pb1nbp2/1pn1p3/2ppP1p1/1P1P2N1/P1P1BKPq/3NQP2/R3R2r b - - 3 24,g2f3,-1.0,-0.89446,0.10553999999999997
124,r4k1r/p1p1R1pp/4N3/2p3Bq/8/2P5/PP4PP/6K1 b - - 1 21,r5kr/p1p1R1pp/4N3/2p3Bq/8/2P5/PP4PP/6K1 w - - 2 22,f8g8,-1.0,-0.89532,0.10468
125,2R5/p4R1k/3p2p1/3Pr3/1q1r2n1/1P6/P1P3BP/1K6 b - - 0 36,2R5/p4R2/3p2pk/3Pr3/1q1r2n1/1P6/P1P3BP/1K6 w - - 1 37,h7h6,-1.0,-0.89559,0.10441
126,6r1/1p1q1p1k/2p1npn1/4pN2/1R5R/r2PBPPP/2P4K/8 b - - 1 31,6r1/1p1q1p1k/2p1np2/4pN2/1R5n/r2PBPPP/2P4K/8 w - - 0 32,g6h4,-1.0,-0.89596,0.10404000000000002
128,8/1p1kp3/3p1b2/1P6/P1P1Qp2/3B1N2/5K1r/7q w - - 6 42,8/1p1kp3/3p1b2/1P6/P1P1Qp2/3B4/5K1N/7q b - - 0 42,f3h2,-1.0,-0.89638,0.10362000000000005
129,3r1rn1/pp1n2kp/1qp2pp1/5NQ1/4P3/1B1R4/PP3PPP/2R3K1 b - - 1 25,3r1rnk/pp1n3p/1qp2pp1/5NQ1/4P3/1B1R4/PP3PPP/2R3K1 w - - 2 26,g7h8,-1.0,-0.89672,0.10328000000000004
131,1r4k1/p4pR1/q1p4P/2Q4P/1r1PpP2/1p2P3/P7/2KR4 b - - 0 29,1r5k/p4pR1/q1p4P/2Q4P/1r1PpP2/1p2P3/P7/2KR4 w - - 1 30,g8h8,-1.0,-0.89741,0.10258999999999996
133,5r2/pbrq2p1/4ppk1/Pp2P1PQ/3p4/6KR/1P3P1P/7R b - - 1 31,5r2/pbrq2p1/4pp2/Pp2PkPQ/3p4/6KR/1P3P1P/7R w - - 2 32,g6f5,-1.0,-0.89773,0.10226999999999997
130,3r1r1k/p4q2/1p2p2Q/4bp2/1R6/2P2P2/PP3P2/6RK b - - 0 28,3r1r1k/p6q/1p2p2Q/4bp2/1R6/2P2P2/PP3P2/6RK w - - 1 29,f7h7,-1.0,-0.89811,0.10189000000000004
132,r3k3/1p1Qprb1/2p5/8/2P1nP2/pP4P1/P3Nq2/1K1R4 b q - 1 33,r4k2/1p1Qprb1/2p5/8/2P1nP2/pP4P1/P3Nq2/1K1R4 w - - 2 34,e8f8,-1.0,-0.89815,0.10185
134,3RQ3/pp3pk1/8/2q3pp/5PbK/P1r5/2n3PP/7R w - - 0 32,3RQ3/pp3pk1/8/2q3Pp/6bK/P1r5/2n3PP/7R b - - 0 32,f4g5,-1.0,-0.89829,0.10170999999999997
135,r3kb1r/pppb2pp/3N1p2/5qB1/8/8/PPP2PPP/3RR1K1 b kq - 1 16,r2k1b1r/pppb2pp/3N1p2/5qB1/8/8/PPP2PPP/3RR1K1 w - - 2 17,e8d8,-1.0,-0.89952,0.10048000000000001
136,7r/4R1Qp/p4p1k/4p3/P3P3/4q1PP/6PK/5r2 b - - 4 39,7r/4R1Qp/p4p2/4p2k/P3P3/4q1PP/6PK/5r2 w - - 5 40,h6h5,-1.0,-0.89954,0.10046
137,7r/4R1Qp/p4p1k/4p3/P3P3/4q1PP/6PK/5r2 b - - 8 41,7r/4R1Qp/p4p2/4p2k/P3P3/4q1PP/6PK/5r2 w - - 9 42,h6h5,-1.0,-0.89954,0.10046
140,n4Q2/3b3p/p2p2pk/2pPp3/2P1N3/1qPK1P2/6PP/8 b - - 9 44,n4Q2/3b3p/p2p2p1/2pPp2k/2P1N3/1qPK1P2/6PP/8 w - - 10 45,h6h5,-1.0,-0.90034,0.09965999999999997
138,r1bQk3/1p4rp/p3p1p1/2b2p2/5q2/2P2B2/P4PPP/1R1R2K1 b q - 1 22,r1bQ4/1p3krp/p3p1p1/2b2p2/5q2/2P2B2/P4PPP/1R1R2K1 w - - 2 23,e8f7,-1.0,-0.9004,0.09960000000000002
139,6k1/1p3pPp/p7/2b3B1/P1P2P2/3Q1RPK/8/7q w - - 3 35,6k1/1p3pPp/p7/2b3B1/P1P2PK1/3Q1RP1/8/7q b - - 4 35,h3g4,-1.0,-0.90057,0.09943000000000002
141,3rR3/7R/p5pk/6qn/8/1P3Q2/2r4P/7K b - - 0 45,3rR3/7k/p5p1/6qn/8/1P3Q2/2r4P/7K w - - 0 46,h6h7,-1.0,-0.9006,0.09940000000000004
142,5bk1/2P2pp1/p7/8/1p4Pp/5P1K/P1RR1Q2/7q w - - 1 47,5bk1/2P2pp1/p7/8/1p4Pp/5P1K/P1RR3Q/7q b - - 2 47,f2h2,-1.0,-0.90072,0.09928000000000003
143,r6k/p6p/2Q3p1/4p3/2P2bn1/1P5B/PB2P2r/3R1R1K w - - 1 31,r6k/p6p/2Q3p1/4p3/2P2bn1/1P5B/PB2P2r/3R1RK1 b - - 2 31,h1g1,-1.0,-0.90076,0.09924
144,2r3k1/p1P1P1bp/5q2/4p3/PQ2Pp2/3N1Pn1/1P2B1P1/2R1R1Kr w - - 1 30,2r3k1/p1P1P1bp/5q2/4p3/PQ2Pp2/3N1Pn1/1P2BKP1/2R1R2r b - - 2 30,g1f2,-1.0,-0.90096,0.09904000000000002
147,kn6/r7/pNb2n1P/Qp3B1q/8/P7/1PP5/1K1R4 b - - 6 37,1n6/rk6/pNb2n1P/Qp3B1q/8/P7/1PP5/1K1R4 w - - 7 38,a8b7,-1.0,-0.90133,0.09867000000000004
145,6k1/5p1p/4r1p1/2P5/7n/1PQnN1PP/2N2PqK/R7 w - - 5 31,6k1/5p1p/4r1p1/2P5/7n/1PQn2PP/2N2PNK/R7 b - - 0 31,e3g2,-1.0,-0.90159,0.09841
146,8/p4bRk/3p1p1p/2p4P/2q1p3/2B1P3/PK3P2/6R1 b - - 7 41,7k/p4bR1/3p1p1p/2p4P/2q1p3/2B1P3/PK3P2/6R1 w - - 8 42,h7h8,-1.0,-0.90166,0.09833999999999998
148,4n3/p3Q2p/1pp3pk/6P1/3p1P2/4q3/PP2N1KP/8 b - - 0 37,4n3/p3Q2p/1pp3p1/6Pk/3p1P2/4q3/PP2N1KP/8 w - - 1 38,h6h5,-1.0,-0.90182,0.09818000000000005
149,r1b2r2/pp2k3/2p2nQ1/4R3/2P1N3/1P2P3/q4P1P/2KR4 b - - 1 23,r4r2/pp2k3/2p1bnQ1/4R3/2P1N3/1P2P3/q4P1P/2KR4 w - - 2 24,c8e6,-1.0,-0.90222,0.09777999999999998
153,r1b1R3/pp4kr/2p4p/3p3N/7p/2P5/PP4PP/5RK1 b - - 1 26,r1b1R3/pp5r/2p3kp/3p3N/7p/2P5/PP4PP/5RK1 w - - 2 27,g7g6,-1.0,-0.90263,0.09736999999999996
150,8/q2r4/7Q/1p6/2bR2Pk/1p6/8/7K b - - 1 53,8/q2r4/7Q/1p6/2bR2P1/1p4k1/8/7K w - - 2 54,h4g3,-1.0,-0.90303,0.09697
151,r4r1k/1R4pp/3bR3/p2Q4/3p4/P2B3P/1P3qP1/6K1 w - - 0 31,r4r1k/1R4pp/3bR3/p2Q4/3p4/P2B3P/1P3qP1/7K b - - 1 31,g1h1,-1.0,-0.90316,0.09684000000000004
152,2r2r2/2q2pkp/4p1p1/1p3N2/5P2/n7/2P4P/B3R1K1 b - - 1 30,2r2rk1/2q2p1p/4p1p1/1p3N2/5P2/n7/2P4P/B3R1K1 w - - 2 31,g7g8,-1.0,-0.90338,0.09662000000000004
154,5rk1/2RR1p2/6p1/p5Pp/Pb1B1PKP/4r3/8/8 w - h6 0 53,5rk1/2RR1p2/6pP/p7/Pb1B1PKP/4r3/8/8 b - - 0 53,g5h6,-1.0,-0.90373,0.09626999999999997
155,8/1p6/6q1/3p2k1/p2PbQP1/P1P1P2P/1P5K/8 b - - 4 40,8/1p6/6q1/3p4/p2PbQPk/P1P1P2P/1P5K/8 w - - 5 41,g5h4,-1.0,-0.9038,0.09619999999999995
156,3Qk3/p2b1p2/4pr2/7q/2BR2p1/8/PK3PP1/3R4 b - - 0 26,3k4/p2b1p2/4pr2/7q/2BR2p1/8/PK3PP1/3R4 w - - 0 27,e8d8,-1.0,-0.90407,0.09592999999999996
157,5b2/1r1q1p1k/3prP1Q/p3p3/1n2P3/1b4RR/1PP3PP/6K1 b - - 0 34,8/1r1q1p1k/3prP1b/p3p3/1n2P3/1b4RR/1PP3PP/6K1 w - - 0 35,f8h6,-1.0,-0.90411,0.09589000000000003
159,3Q1k2/pbp2r2/1p5p/4R1pP/1PP5/8/PKB2q2/8 b - - 2 35,3Q4/pbp2rk1/1p5p/4R1pP/1PP5/8/PKB2q2/8 w - - 3 36,f8g7,-1.0,-0.90422,0.09577999999999998
161,r1r5/5p1p/p1R3p1/1pB5/1kp5/2Np4/PP3PPP/2K5 b - - 7 31,r1r5/5p1p/p1R3p1/kpB5/2p5/2Np4/PP3PPP/2K5 w - - 8 32,b4a5,-1.0,-0.9051,0.09489999999999998
158,3r1nQk/3P3p/pp3q2/2p1p3/P1P3B1/3b2R1/1P5P/6K1 b - - 1 33,3r1nk1/3P3p/pp3q2/2p1p3/P1P3B1/3b2R1/1P5P/6K1 w - - 0 34,h8g8,-1.0,-0.90535,0.09465000000000001
160,1q3rk1/pp3pR1/2n5/8/3r2Q1/8/PP3PPP/R1B3K1 b - - 0 21,1q3r1k/pp3pR1/2n5/8/3r2Q1/8/PP3PPP/R1B3K1 w - - 1 22,g8h8,-1.0,-0.90565,0.09435000000000004
162,2b5/4rrpk/p2p4/2pP3R/1pP1Pp1N/1P3P1P/1q6/6RK b - - 1 35,2b3k1/4rrp1/p2p4/2pP3R/1pP1Pp1N/1P3P1P/1q6/6RK w - - 2 36,h7g8,-1.0,-0.906,0.09399999999999997
168,2B2k1r/1Q3p1p/5pn1/P7/3bP3/8/1P3qPP/R1R3K1 w - - 0 23,2B2k1r/1Q3p1p/5pn1/P7/3bP3/8/1P3qPP/R1R4K b - - 1 23,g1h1,0.90596,0.81243,0.09353
163,2r1r3/p7/1pp1NRpk/7R/4P1n1/1Q4P1/PPP3KP/4q3 b - - 0 33,2r1r3/p7/1pp1NRp1/7k/4P1n1/1Q4P1/PPP3KP/4q3 w - - 0 34,h6h5,-1.0,-0.9067,0.09330000000000005
164,q1r5/1b2kpp1/p3p3/P1b5/1pN1P3/3BBPp1/1P4P1/R3QRKr w - - 4 25,q1r5/1b2kpp1/p3p3/P1b5/1pN1P3/3BBPp1/1P4P1/R3QR1K b - - 0 25,g1h1,-1.0,-0.90738,0.09262000000000004
165,r7/pp1Q1k1p/2p2Nr1/3pP1b1/3q4/8/PP5P/5R1K b - - 1 30,r4k2/pp1Q3p/2p2Nr1/3pP1b1/3q4/8/PP5P/5R1K w - - 2 31,f7f8,-1.0,-0.90786,0.09214
166,1rr1k2Q/2qn1p2/b2p1P2/4nP2/8/1p5R/1PP3BP/2B1R2K b - - 2 40,1rr1kn1Q/2q2p2/b2p1P2/4nP2/8/1p5R/1PP3BP/2B1R2K w - - 3 41,d7f8,-1.0,-0.90827,0.09172999999999998
167,6k1/6pp/1npb4/p4P2/NpKP4/4rrN1/PP1R3P/6R1 w - - 6 30,6k1/6pp/1Npb4/p4P2/1pKP4/4rrN1/PP1R3P/6R1 b - - 0 30,a4b6,-1.0,-0.90904,0.09096000000000004
170,R4r1k/1P5p/3p3b/1PpPp3/4Pn2/1N3Pn1/6P1/4QBKq w - - 11 36,R4r1k/1P5p/3p3b/1PpPp3/4Pn2/1N3Pn1/5KP1/4QB1q b - - 12 36,g1f2,-1.0,-0.9094,0.09060000000000001
169,r1bqr3/pp6/3p4/2pPkQ2/2PpPR2/1P4NP/P5P1/6K1 b - - 2 27,r2qr3/pp6/3p4/2pPkb2/2PpPR2/1P4NP/P5P1/6K1 w - - 0 28,c8f5,-1.0,-0.90985,0.09014999999999995
171,5Q1k/5B2/2r3b1/6p1/8/5K2/8/2q5 b - - 7 59,5Q2/5B1k/2r3b1/6p1/8/5K2/8/2q5 w - - 8 60,h8h7,-1.0,-0.90992,0.09008000000000005
172,3r4/p3p1b1/k1p5/2Np2p1/3p2n1/1R4P1/PP4P1/2K5 b - - 1 32,3r4/p3p1b1/2p5/k1Np2p1/3p2n1/1R4P1/PP4P1/2K5 w - - 2 33,a6a5,-1.0,-0.90993,0.09006999999999998
173,5Qk1/r5pp/p2NRp2/1p1q4/8/6B1/PP3PPP/6K1 b - - 0 28,5k2/r5pp/p2NRp2/1p1q4/8/6B1/PP3PPP/6K1 w - - 0 29,g8f8,-1.0,-0.91002,0.08997999999999995
176,r1b2N1k/pp4pp/1qpp1b2/8/6n1/6Pn/PPQBN1BP/R4RK1 w - - 4 23,r1b2N1k/pp4pp/1qpp1b2/8/6n1/6Pn/PPQBN1BP/R4R1K b - - 5 23,g1h1,-1.0,-0.91014,0.08986000000000005
174,6kr/p4p2/5Rnp/8/6R1/7Q/P5PP/3r3K w - - 1 39,6kr/p4p2/6np/8/6R1/7Q/P5PP/3r1R1K b - - 2 39,f6f1,-1.0,-0.91023,0.08977000000000002
177,4k2Q/1r1r1p1p/2p1N3/q3Pp2/8/6P1/5P1P/3R2K1 b - - 2 42,7Q/1r1rkp1p/2p1N3/q3Pp2/8/6P1/5P1P/3R2K1 w - - 3 43,e8e7,-1.0,-0.91037,0.08962999999999999
175,6k1/1p4pp/p1ppn1r1/8/P1P1Pp2/2N2P1q/2PQ1R2/5R1K w - - 0 38,6k1/1p4pp/p1ppn1r1/8/P1P1Pp2/2N2P1q/2PQ3R/5R1K b - - 1 38,f2h2,-1.0,-0.91053,0.08947000000000005
180,1r6/p3R3/3pkB2/1qp1pr2/7b/7P/PP1Q1P2/2K5 b - - 7 30,1r6/p3R3/3p1k2/1qp1pr2/7b/7P/PP1Q1P2/2K5 w - - 0 31,e6f6,-1.0,-0.91063,0.08936999999999995
178,4r1k1/pb1q2pQ/4Pb2/1pp3N1/2p5/P5P1/1P3P1P/3rR1K1 b - - 1 26,4rk2/pb1q2pQ/4Pb2/1pp3N1/2p5/P5P1/1P3P1P/3rR1K1 w - - 2 27,g8f8,-1.0,-0.91073,0.08926999999999996
179,8/2p3k1/1pPp2q1/p7/2P5/1P2Q1pp/P4R2/4RNrK w - - 1 49,8/2p3k1/1pPp2q1/p7/2P5/1P2Q1pp/P4R2/4RNK1 b - - 0 49,h1g1,-1.0,-0.91079,0.08921000000000001
181,r1b2r1k/1pp2pp1/p1p2N1Q/b5N1/3PP2n/2P3R1/PP3P1q/R1B1K3 b Q - 0 19,r1b2r1k/1pp2p2/p1p2N1p/b5N1/3PP2n/2P3R1/PP3P1q/R1B1K3 w Q - 0 20,g7h6,-1.0,-0.91086,0.08914
183,1q2rnk1/5pb1/p2p1Np1/3P2P1/3B1P2/1p1n1P2/1P6/1K1R3R b - - 1 27,1q2rnk1/5p2/p2p1bp1/3P2P1/3B1P2/1p1n1P2/1P6/1K1R3R w - - 0 28,g7f6,-1.0,-0.91119,0.08880999999999994
182,2qr1k2/5pQ1/2p1pP2/p1p2p2/Pn1P3r/8/1P4PP/3R3K b - - 1 32,2qrk3/5pQ1/2p1pP2/p1p2p2/Pn1P3r/8/1P4PP/3R3K w - - 2 33,f8e8,-1.0,-0.91126,0.08874000000000004
186,r1bq1r1k/pp1nb1p1/2n1p3/1N1pP1PQ/8/2P5/3P1PP1/R1B1K3 b Q - 1 16,r1bq1rk1/pp1nb1p1/2n1p3/1N1pP1PQ/8/2P5/3P1PP1/R1B1K3 w Q - 2 17,h8g8,-1.0,-0.91126,0.08874000000000004
184,r2q3k/ppb3pQ/2p1B3/2P1R3/8/6P1/PP1r3P/5RK1 b - - 0 26,r2q4/ppb3pk/2p1B3/2P1R3/8/6P1/PP1r3P/5RK1 w - - 0 27,h8h7,-1.0,-0.91128,0.08872000000000002
185,3rN3/q4pQk/4b1pP/5n2/7R/Pp3P2/7P/K6R b - - 10 42,3rN3/q4pnk/4b1pP/8/7R/Pp3P2/7P/K6R w - - 0 43,f5g7,-1.0,-0.91143,0.08857000000000004
188,r4rkR/p5p1/4p1P1/1pp5/5P2/2P1Pq2/PP2Q3/2K4b b - - 1 26,r4r1k/p5p1/4p1P1/1pp5/5P2/2P1Pq2/PP2Q3/2K4b w - - 0 27,g8h8,-1.0,-0.9118,0.08819999999999995
191,Q7/5p1k/3B1npq/P1p5/3b2P1/5R1K/1P3r1P/7R w - - 9 42,Q7/5p1k/3B1npq/P1p5/3b2P1/5RK1/1P3r1P/7R b - - 10 42,h3g3,-1.0,-0.91186,0.08814
189,b3n1k1/p3pp2/2Pr3b/Np6/4P2p/P2P1B1P/2Q2pP1/B2R1Kq1 w - - 3 31,b3n1k1/p3pp2/2Pr3b/Np6/4P2p/P2P1B1P/2Q1KpP1/B2R2q1 b - - 4 31,f1e2,-1.0,-0.91199,0.08801000000000003
190,8/1kqr4/1p2Q3/3pP3/R1p1P1p1/2P1N1p1/1P4Pr/5R1K w - - 0 30,8/1kqr4/1p2Q3/3pP3/R1p1P1p1/2P1N1p1/1P4Pr/5RK1 b - - 1 30,h1g1,-1.0,-0.91237,0.08762999999999999
193,2k2b1r/3n1Q2/4N2p/2p5/1pn1P1PP/qK2B3/1pP1N3/5R1R w - - 3 33,2k2b1r/3n1Q2/4N2p/2p5/1pK1P1PP/q3B3/1pP1N3/5R1R b - - 0 33,b3c4,-1.0,-0.91243,0.08757000000000004
192,r3rQk1/1b3p1p/p4PN1/1p1Np3/8/P6q/2P1B2P/3n1RK1 b - - 3 31,r4rk1/1b3p1p/p4PN1/1p1Np3/8/P6q/2P1B2P/3n1RK1 w - - 0 32,e8f8,-1.0,-0.91245,0.08755000000000002
195,2r1r1kR/q4pP1/2p5/3p4/pp1b4/4PQ2/PP3PP1/1KR5 b - - 2 30,2r1r2R/q4pk1/2p5/3p4/pp1b4/4PQ2/PP3PP1/1KR5 w - - 0 31,g8g7,-1.0,-0.91267,0.08733000000000002
194,3r4/3qkp2/p2p4/2pPp3/2P1B2p/1P2P1pP/P4rPK/2QR2R1 w - - 0 34,3r4/3qkp2/p2p4/2pPp3/2P1B2p/1P2P1pP/P4rP1/2QR2RK b - - 1 34,h2h1,-1.0,-0.91269,0.08731
196,5b2/5k1p/p2p1n2/1p6/4R3/PP4Q1/2P2PPP/3q2K1 w - - 1 27,5b2/5k1p/p2p1n2/1p6/8/PP4Q1/2P2PPP/3qR1K1 b - - 2 27,e4e1,-1.0,-0.91308,0.08692
197,2kr4/ppp2p1p/2nQ4/3bp3/2B5/3P4/PPP2PrP/R1B2RK1 w - - 0 14,2kr4/ppp2p1p/2nQ4/3bp3/2B5/3P4/PPP2PrP/R1B2R1K b - - 1 14,g1h1,-1.0,-0.91325,0.08675
198,5rk1/p3ppbp/3p2p1/7P/1rpNN1P1/4B3/qPPQ4/KR5R w - - 0 22,5rk1/p3ppbp/3p2p1/7P/1rpNN1P1/4B3/KPPQ4/1R5R b - - 0 22,a1a2,-1.0,-0.91393,0.08606999999999998
199,5Q2/2rPkb1p/4p1pP/3pbpPn/BP1P1P2/P3P2R/6K1/2q3B1 b - - 0 44,5k2/2rP1b1p/4p1pP/3pbpPn/BP1P1P2/P3P2R/6K1/2q3B1 w - - 0 45,e7f8,-1.0,-0.91415,0.08584999999999998
200,r3nbkR/1b3q2/p1p5/1p6/1PprnP1Q/P6P/6P1/2R2BK1 b - - 3 32,r3nb1R/1b3qk1/p1p5/1p6/1PprnP1Q/P6P/6P1/2R2BK1 w - - 4 33,g8g7,-1.0,-0.91446,0.08553999999999995
201,7r/pb1rq1k1/2p1p1Rp/2P1P1pP/3P4/P7/5RP1/1B4K1 b - - 0 40,7r/pb1rq2k/2p1p1Rp/2P1P1pP/3P4/P7/5RP1/1B4K1 w - - 1 41,g7h7,-1.0,-0.9146,0.08540000000000003
202,r7/5N1p/6pk/1p2Qp2/1q5P/1P3PP1/P5K1/8 b - - 2 39,r7/5N1p/6p1/1p2Qp1k/1q5P/1P3PP1/P5K1/8 w - - 3 40,h6h5,-1.0,-0.91461,0.08538999999999997
203,7Q/8/1p1qp2p/3pk3/1P6/2P3N1/6PK/2r5 b - - 3 47,7Q/8/1p1qp2p/3p4/1P3k2/2P3N1/6PK/2r5 w - - 4 48,e5f4,-1.0,-0.91493,0.08506999999999998
204,7k/pp4bp/8/2p2r2/2P2p2/P1NP1p2/5P1q/B2R2RK w - - 0 37,7k/pp4bp/8/2p2r2/2P2p2/P1NP1p2/5P1K/B2R2R1 b - - 0 37,h1h2,-1.0,-0.91521,0.08479000000000003
205,7k/3n3p/1p1p4/1P1Pp3/2P2p1Q/5P2/6PP/1N1q3K w - - 1 43,7k/3n3p/1p1p4/1P1Pp3/2P2p2/5P2/6PP/1N1qQ2K b - - 2 43,h4e1,-1.0,-0.91524,0.08475999999999995
206,r4r1k/1b6/3p4/5N1Q/8/4p3/p5PP/q3B2K b - - 0 37,r4rk1/1b6/3p4/5N1Q/8/4p3/p5PP/q3B2K w - - 1 38,h8g8,-1.0,-0.91534,0.08465999999999996
207,8/6kp/p7/2Q2pPq/P1Pp1PnK/3r4/8/4R3 w - - 2 42,8/6kp/p7/2Q2pPK/P1Pp1Pn1/3r4/8/4R3 b - - 0 42,h4h5,-1.0,-0.91539,0.08460999999999996
208,8/1kqr4/1p2Q3/3pP3/R1p1P1p1/2P1N1p1/1P4P1/5RKr w - - 2 31,8/1kqr4/1p2Q3/3pP3/R1p1P1p1/2P1N1p1/1P4P1/5R1K b - - 0 31,g1h1,-1.0,-0.91543,0.08457000000000003
209,4q2r/pr2PQ1k/6np/8/P1p1P3/2P5/6PP/5R1K b - - 3 33,7r/pr2Pq1k/6np/8/P1p1P3/2P5/6PP/5R1K w - - 0 34,e8f7,-1.0,-0.91558,0.08442000000000005
210,3R2k1/5rpp/2B5/p7/4P3/2q3P1/P1P1K2P/1r6 b - - 1 29,3R1rk1/6pp/2B5/p7/4P3/2q3P1/P1P1K2P/1r6 w - - 2 30,f7f8,-1.0,-0.91581,0.08418999999999999
211,4r3/b4pk1/p3p3/Pp1pPnpp/1P5r/2P2B2/3BRPPK/2R1Q3 w - - 1 29,4r3/b4pk1/p3p3/Pp1pPnpp/1P5r/2P2B2/3BRPP1/2R1Q1K1 b - - 2 29,h2g1,-1.0,-0.91584,0.08416000000000001
212,2br2k1/3n3B/pr1p4/2pP4/1q4Pp/7P/5RKB/Q7 b - - 3 37,2br4/3n3k/pr1p4/2pP4/1q4Pp/7P/5RKB/Q7 w - - 0 38,g8h7,-1.0,-0.91589,0.08411000000000002
213,r4qRk/7p/1n1p1p1N/2nPpP1N/2P1P3/1p4Q1/6P1/6K1 b - - 5 45,r5qk/7p/1n1p1p1N/2nPpP1N/2P1P3/1p4Q1/6P1/6K1 w - - 0 46,f8g8,-1.0,-0.91606,0.08394000000000001
